1998,309
1999,42
2000,113
2001,228
2002,5335
2003,86
2004,336
2005,202
2006,965
2007,2000
2008,488
2009,848
2010,1592
2011,1545
2012,1271
2013,596
2014,15492
2015,43418
2016,380
